"Address","Packets","Bytes","Tx Packets","Tx Bytes","Rx Packets","Rx Bytes","Country","City","AS Number","AS Organization"
"4.2.2.1",8,784,4,392,4,392,"","","",""
"10.0.2.3",549,101387,272,78876,277,22511,"","","",""
"10.0.2.15",4902,2929372,2452,430157,2450,2499215,"","","",""
"23.9.91.27",50,14951,24,11377,26,3574,"","","",""
"23.32.225.206",20,6694,11,4687,9,2007,"","","",""
"23.203.230.15",170,135609,86,125289,84,10320,"","","",""
"23.203.235.144",48,14635,24,11801,24,2834,"","","",""
"40.74.117.114",39,21857,19,19720,20,2137,"","","",""
"40.85.224.10",41,21939,20,19782,21,2157,"","","",""
"52.32.186.162",39,21865,19,19728,20,2137,"","","",""
"52.40.5.187",52,35018,26,32428,26,2590,"","","",""
"52.84.212.49",24,8361,12,6724,12,1637,"","","",""
"52.84.212.117",19,6403,9,5455,10,948,"","","",""
"52.84.212.241",19,6404,9,5455,10,949,"","","",""
"52.88.61.37",22,2042,11,1086,11,956,"","","",""
"52.201.200.120",33,10688,17,7363,16,3325,"","","",""
"52.216.192.16",27,5799,13,4099,14,1700,"","","",""
"54.69.155.132",34,8603,17,4718,17,3885,"","","",""
"54.88.238.74",29,9035,15,7155,14,1880,"","","",""
"54.192.33.213",202,155639,100,143045,102,12594,"","","",""
"54.208.102.139",49,23002,25,18521,24,4481,"","","",""
"54.239.17.7",188,138992,95,121859,93,17133,"","","",""
"54.239.25.208",21,6459,10,5471,11,988,"","","",""
"63.251.109.60",36,25618,20,22886,16,2732,"","","",""
"63.251.109.73",171,29123,85,14883,86,14240,"","","",""
"65.52.8.54",124,65883,60,59370,64,6513,"","","",""
"70.37.73.37",41,21937,20,19780,21,2157,"","","",""
"72.21.81.200",7,416,3,180,4,236,"","","",""
"72.21.91.29",17,3412,8,2044,9,1368,"","","",""
"72.21.194.87",62,14871,30,8652,32,6219,"","","",""
"72.21.206.53",189,75133,92,38252,97,36881,"","","",""
"72.21.206.93",20,5469,10,3692,10,1777,"","","",""
"72.167.18.239",10,3346,5,2629,5,717,"","","",""
"91.189.89.198",4,360,2,180,2,180,"","","",""
"91.189.89.199",6,540,3,270,3,270,"","","",""
"91.189.91.157",2,180,1,90,1,90,"","","",""
"91.189.94.4",2,180,1,90,1,90,"","","",""
"98.138.252.30",28,9344,14,8116,14,1228,"","","",""
"111.13.101.208",4,397,2,194,2,203,"","","",""
"123.125.114.144",4,387,2,188,2,199,"","","",""
"129.19.157.7",29,6388,13,4576,16,1812,"","","",""
"129.19.157.16",453,628036,226,613611,227,14425,"","","",""
"131.253.61.98",84,32308,43,26596,41,5712,"","","",""
"131.253.61.100",44,17494,23,14094,21,3400,"","","",""
"138.91.83.37",27,4918,13,1629,14,3289,"","","",""
"157.240.2.35",26,5570,13,4364,13,1206,"","","",""
"168.63.138.145",48,22343,23,19966,25,2377,"","","",""
"184.72.106.52",584,607758,296,568635,288,39123,"","","",""
"196.25.9.46",136,21282,69,17509,67,3773,"","","",""
"198.41.215.68",52,45388,26,42987,26,2401,"","","",""
"204.79.197.200",762,441254,389,282505,373,158749,"","","",""
"204.79.197.222",42,22981,20,20716,22,2265,"","","",""
"216.58.217.33",23,6120,11,4957,12,1163,"","","",""
"216.58.217.34",46,14511,23,10474,23,4037,"","","",""
"216.58.217.38",26,9113,13,7015,13,2098,"","","",""
"216.58.217.46",81,21341,39,14561,42,6780,"","","",""
"216.239.32.27",29,9805,14,8493,15,1312,"","","",""
